title,total_sales,critic_score
Conker: Live And Reloaded,0.71,8.1
Contra 4,0.3,8.1
Contra Advance: The Alien Wars EX,0.11,6.7
Contra: Legacy of War,0.67,6.5
Contra: Shattered Soldier,0.58,7.3
Cooking Mama,5.66,6.6
Cooking Mama 2: Dinner With Friends,3.58,6.9
Cooking Mama: Cook Off,2.89,5.9
Cooking Mama: Sweet Shop,0.07,6.0
Corvette,0.28,4.9
Crackdown 2,1.12,7.5
Crash Bandicoot 2: N-Tranced,1.36,7.5
Crash Bandicoot N. Sane Trilogy,1.11,6.0
Crash Bandicoot Purple: Ripto's Rampage,0.64,6.7
Crash Bandicoot: The Huge Adventure,1.73,8.3
Crash Bandicoot: The Wrath of Cortex,6.01,6.45
Crash Bash,3.39,6.8
Crash Nitro Kart,0.46,7.7
Crash Tag Team Racing,0.25,6.3
Crash Team Racing,4.79,9.2
Crash of the Titans,0.96,6.449999999999999
Crash: Mind Over Mutant,0.87,6.15
Crazy Taxi,4.82,8.233333333333333
Crazy Taxi 2,0.07,8.3
Crazy Taxi: Catch a Ride,0.3,4.8
Crazy Taxi: Fare Wars,0.48,6.3
Create,0.36,6.233333333333333
Crime Scene,0.02,8.0
Crimson Gem Saga,0.06,7.3
Crimson Tears,0.03,5.9
Cross Edge,0.23,5.4
"Crouching Tiger, Hidden Dragon",0.03,5.9
Cruis'n Exotica,0.21,5.8
Cruis'n Velocity,0.0,5.3
Crusaders of Might and Magic,0.25,6.0
Crush,0.08,8.5
Crush3D,0.15,6.5
Cryostasis: Sleep of Reason,0.0,7.0
Crysis 2,3.43,8.733333333333333
Crysis 3,1.83,7.8999999999999995
Cubic Ninja,0.1,5.5
Cubivore: Survival of the Fittest,0.17,7.1
Culdcept Revolt,0.07,7.3
Culdcept SAGA,0.16,7.7
Curious George,0.16,6.6
Cursed Mountain,0.21,6.3
Custom Robo Arena,0.16,7.4
DC Universe Online,0.74,6.75
DECA Sports Freedom,0.33,3.0
DJ Hero,3.0900000000000003,8.45
DJ Hero 2,2.23,8.533333333333333
DJ Max Fever,0.13,7.7
DK: King of Swing,0.24,7.1
Daigasso! Band Brothers,0.19,8.0
Damnation,0.16,3.35
Dance Central 2,2.04,8.6
Dance Dance Revolution: Mario Mix,0.47,7.0
Dance Dance Revolution: Mario Mix (JP sales),0.06,7.5
Dance Paradise,0.12,7.0
DanceMasters,0.2,6.2
Danny Phantom: The Ultimate Enemy,0.22,7.5
Dante's Inferno,2.2,6.966666666666666
Daredevil,0.0,5.3
Dark Angel: Vampire Apocalypse,0.09,4.6
Dark Arena,0.04,6.8
Dark Cloud,1.54,8.2
Dark Cloud 2,0.96,8.6
Dark Messiah Might and Magic,0.0,7.3
Dark Messiah of Might and Magic Elements,0.2,5.0
Dark Sector,0.95,7.15
Dark Souls,2.05,9.0
Dark Souls: Remastered,0.11,8.0
Dark Void,0.6799999999999999,6.099999999999999
DarkStar One: Broken Alliance,0.2,6.4
Darkest of Days,0.1,4.6
Darksiders,1.49,7.866666666666667
Darksiders II,1.8,8.366666666666667
Darksiders II: Deathinitive Edition,0.32,7.5
Darkspore,0.11,6.6
Darkstalkers Chronicle: The Chaos Tower,0.15,7.5
Darkstone,0.66,7.1
Data East Arcade Classics,0.09,5.0
Dave Mirra BMX Challenge,0.07,3.5
Dave Mirra Freestyle BMX,1.05,7.4
Dave Mirra Freestyle BMX 2,0.19,8.0
Dave Mirra Freestyle BMX 3,0.03,8.0
David Beckham Soccer,0.0,3.1
Davis Cup Tennis,0.02,6.4
Dawn of Discovery,0.67,8.066666666666668
Dawn of Discovery: Venice,0.01,7.0
Dead Cells,0.11,9.3
Dead Head Fred,0.04,7.6
Dead Island,4.67,6.85
Dead Island: Riptide,1.4300000000000002,6.1
Dead Rising 2,2.8600000000000003,8.149999999999999
Dead Rising 2: Off the Record,0.5900000000000001,7.35
Dead Rising: Chop Till You Drop,0.29,6.7
Dead Space,3.9899999999999998,8.866666666666667
Dead Space 2,3.27,9.0
Dead Space Extraction,0.47,8.2
Dead or Alive,0.46,8.100000000000001
Dead or Alive 2,0.14,9.0
Dead or Alive 5,0.98,7.6
Dead or Alive 5 Last Round,0.44999999999999996,7.3
Dead or Alive 5 Plus,0.1,8.0
Dead or Alive Paradise,0.2,4.5
Dead or Alive Ultimate,0.5,8.1
Dead or Alive Xtreme 2,0.25,5.3
Dead or Alive Xtreme Beach Volleyball,0.59,6.6
Dead to Rights,0.02,3.6
Dead to Rights: Reckoning,0.13,5.2
Dead to Rights: Retribution,0.49,5.85
Deadly Creatures,0.22,6.9
Deadly Premonition,0.26,6.0
Death Jr.,0.19,5.9
Death Jr. II: Root of Evil,0.05,6.9
Death Jr.: Root of Evil,0.11,7.3
DeathSmiles,0.28,8.0
Def Jam Fight For NY: The Takeover,0.09,8.0
Def Jam Icon,0.78,6.449999999999999
Def Jam Rapstar,0.6499999999999999,7.4
Def Jam Vendetta,0.25,8.8
Defender,0.01,3.5
Defender of the Crown,0.0,6.8
Dementium II,0.11,7.5
Dementium: The Ward,0.17,7.5
DemiKids: Dark Version,0.02,6.6
DemiKids: Light Version,0.02,6.6
Demigod,0.02,7.2
Denki Blocks!,0.04,8.0
Desert Strike Advance,0.06,6.8
Destiny,3.41,8.3
Destroy All Humans! Big Willy Unleashed,0.13,5.3
Destroy All Humans! Path of the Furon,0.22,4.55
Detective Pikachu,0.47,7.1
Deus Ex,0.01,9.2
Deus Ex: Human Revolution,3.4499999999999997,8.725
Deus Ex: Invisible War,0.33,8.5
Deus Ex: The Conspiracy,0.21,8.0
Devil May Cry 3: Dante's Awakening Special Edition,0.01,7.1
Devil May Cry 4,2.92,8.35
Devil's Third,0.05,3.8
Dexter's Laboratory Deesaster Strikes,0.41,6.5
DiRT,1.92,8.350000000000001
DiRT 2,2.5300000000000002,7.720000000000001
DiRT 3,1.92,9.033333333333333
DiRT 4,0.73,9.0
DiRT Rally,0.51,8.3
Diablo,0.58,8.3
Diablo III: Eternal Collection,0.67,9.0
Die Hard Trilogy,1.54,8.5
Digimon Battle Spirit 2,0.15,7.0
Digimon Racing,0.13,6.0
Digimon World 4,0.09,5.2
Dillon's Dead-Heat Breakers,0.0,7.0
Diner Dash: Sizzle & Serve,0.12,5.9
Dino Master: Dig Discover Duel,0.07,2.5
Dinotopia: The Sunstone Odyssey,0.02,4.7
Dinotopia: The Timestone Pirates,0.19,6.1
Dirge of Cerberus: Final Fantasy VII,0.97,5.8
Disaster: Day of Crisis,0.07,6.4
Disgaea 1 Complete,0.06,8.0
Disgaea 2: Cursed Memories,0.33,7.9
Disgaea 2: Dark Hero Days,0.25,8.1
Disgaea 3: Absence of Justice,0.55,7.8
Disgaea 4: A Promise Unforgotten,0.58,7.9
Disgaea DS,0.18,8.0
Disgaea Infinite,0.1,6.8
Disgaea: Afternoon of Darkness,0.24,8.7
Disgaea: Hour of Darkness,0.33,8.8
Disney Epic Mickey 2: The Power of Two,0.24,5.9
Disney Infinity,0.67,7.6
Disney Infinity 2.0: Marvel Super Heroes,0.75,8.0
Disney Magic World 2,0.58,7.5
Disney Sing It: Pop Hits,1.48,6.8
Disney Sports Basketball,0.03,5.35
Disney Sports Football,0.02,6.2
Disney Sports Motocross,0.0,5.2
Disney Sports Skateboarding,0.13,3.1
Disney Sports Snowboarding,0.0,5.1
Disney Sports Soccer,0.03,7.3
Disney Universe,1.19,7.050000000000001
Disney's Aladdin,0.03,5.9
Disney's Atlantis: The Lost Empire,0.12,6.0
Disney's Chicken Little,1.76,7.05
Disney's Chicken Little: Ace In Action,0.16,6.8
Disney's Cinderella: Magical Dreams,0.14,6.0
Disney's Donald Duck Advance,0.07,6.5
Disney's Extreme Skate Adventure,0.4,7.0
Disney's Hide & Sneak,0.03,4.7
Disney's Home on the Range,0.17,5.0
Disney's Kim Possible 2: Drakken's Demise,0.66,8.3
Disney's Kim Possible 3: Team Possible,0.46,9.0
Disney's Kim Possible: Revenge of Monkey Fist,0.51,5.0
Disney's Lilo & Stitch,1.08,8.0
Disney's Magical Mirror Starring Mickey Mouse,0.19,4.0
Disney's Magical Quest 2 Starring Mickey and Minnie,0.06,5.6
Disney's Magical Quest 3 Starring Mickey and Donald,0.02,6.5
Disney's Magical Quest Starring Mickey and Minnie,0.22,6.1
Disney's PK: Out of the Shadows,0.05,4.0
Disney's Party,0.12000000000000001,4.2
Disney's Peter Pan: Return to Never Land,0.11,4.0
Disney's Tarzan: Return to the Jungle,0.35,6.9
Disney's The Jungle Book,0.1,5.0
Disney's Treasure Planet,0.28,6.3
Dissidia 012: Duodecim Final Fantasy,0.89,8.3
Divinity II: Ego Draconis,0.31,6.4
Divinity II: The Dragon Knight Saga,0.13,7.5
Dogz,0.63,4.1
Dokapon Kingdom,0.13,7.2
Dokapon: Monster Hunter,0.0,6.4
Don King Presents: Prizefighter,0.25,4.0
Donkey Kong Barrel Blast,0.62,4.8
Donkey Kong Country 2,1.23,7.6
Donkey Kong Country 3,0.77,7.5
Donkey Kong Jungle Beat,1.34,7.9
Donkey Kong Jungle Climber,0.55,7.8
Donkey Konga 2,0.39,6.5
Doom,0.18000000000000002,8.15
Doom (2016),0.43,8.2
Doom 3 BFG Edition,0.58,6.8
Doom 3: Resurrection of Evil,0.71,8.2
Doom 64,0.47,7.4
Doom II,3.65,8.7
Doshin the Giant,0.14,6.8
Double Dragon Advance,0.05,7.9
Dr. Mario / Puzzle League,0.33,7.5
Dr. Mario 64,0.42,6.0
Dr. Muto,0.03,7.5
Dr. Sudoku,0.01,6.7
Dragon Age II,2.58,7.866666666666667
Dragon Age Origins: Awakening,0.87,8.3
Dragon Age: Inquisition,2.34,8.6
Dragon Age: Origins,4.73,8.766666666666666
Dragon Ball GT: Transformation,0.28,7.7
Dragon Ball Z: Budokai,0.69,6.8
Dragon Ball Z: Budokai Tenkaichi 3,1.03,7.5
Dragon Ball Z: Burst Limit,1.3399999999999999,7.3
Dragon Ball Z: Buu's Fury,0.61,5.9
Dragon Ball Z: Collectible Card Game,0.46,6.0
Dragon Ball Z: Extreme Butoden,0.35,5.0
Dragon Ball Z: Sagas,0.21,5.7
Dragon Ball Z: Supersonic Warriors,0.51,7.1
Dragon Ball Z: Taiketsu,1.08,3.8
Dragon Ball Z: Tenkaichi Tag Team,0.27,6.0
Dragon Ball Z: The Legacy of Goku,1.69,6.5
Dragon Ball Z: The Legacy of Goku II,1.09,7.6
Dragon Ball Z: Ultimate Tenkaichi,1.1600000000000001,5.5
Dragon Ball: Advanced Adventure,0.04,7.7
Dragon Ball: Evolution,0.1,3.4
Dragon Ball: Fusions,0.54,6.3
Dragon Ball: Origins 2,0.16,6.9
Dragon Ball: Raging Blast,1.28,5.699999999999999
Dragon Ball: Raging Blast 2,1.47,6.0
Dragon Ball: Revenge of King Piccolo,0.2,6.1
Dragon Force,0.3,9.0
Dragon Quest Builders: Revive Alefgard,0.22,8.0
Dragon Quest VIII: Journey of the Cursed King,1.15,8.8
Dragon Quest XI: Echoes of an Elusive Age,2.04,9.5
Dragon Valor,0.07,6.1
Dragoneer's Aria,0.07,5.2
Drawn to Life: The Next Chapter,1.4,6.6
Dream Trigger 3D,0.07,5.7
Dreamcast Collection,0.24,5.3
Dreamfall: The Longest Journey,0.0,7.4
Drill Dozer,0.05,7.9
Driven,0.03,6.8
Driver,6.27,8.5
Driver '76,0.24,5.5
Driver 2,4.73,7.0
Driver 2 Advance,0.34,6.8
Driver: Parallel Lines,0.03,5.9
Driver: Renegade,0.09,3.5
Driver: San Francisco,2.01,7.9
Drome Racers,0.03,7.5
Dual Blades,0.0,6.0
Dual Hearts,0.05,7.5
DuckTales: Remastered,0.05,8.6
Duel Masters: Kaijudo Showdown,0.22,5.8
Duel Masters: Sempai Legends,0.29,7.1
Duke Nukem Advance,0.01,8.5
Duke Nukem Forever,1.5899999999999999,4.35
Dungeon Explorer: Warriors of Ancient Arts,0.01,6.1
Dungeon Siege III,0.76,7.25
Dungeons,0.09,6.5
Dungeons & Dragons Tactics,0.1,5.2
Dungeons & Dragons: Daggerdale,0.0,6.0
Dungeons & Dragons: Eye of the Beholder,0.26,4.8
Dynasty Warriors,0.51,6.6
Dynasty Warriors 5 Empires,0.47000000000000003,6.35
Dynasty Warriors 6,0.3,6.2
Dynasty Warriors 6 Empires,0.5800000000000001,6.35
Dynasty Warriors 7,1.15,5.85
Dynasty Warriors Advance,0.11,5.2
Dynasty Warriors Gundam,0.6599999999999999,6.2
Dynasty Warriors: Gundam 2,1.02,5.466666666666666
Dynasty Warriors: Gundam 3,0.72,6.5
Dynasty Warriors: Strikeforce,0.97,6.833333333333333
E.T. The Extra-Terrestrial,0.01,3.5
EA Replay,0.12,5.0
EA Sports Active 2,2.6,7.433333333333334
EA Sports Active: More Workouts,1.16,7.9
EA Sports Grand Slam Tennis,0.92,7.9
EA Sports MMA,0.72,7.65
ESPN Final Round Golf 2002,0.17,6.0
ESPN Great Outdoor Games Bass 2002,0.05,5.5
ESPN X Games Skateboarding,0.18,5.7
ESPN: Sports Connection,0.36,3.0
Earth Defense Force 2017,0.08,7.4
Earth Defense Force: Insect Armageddon,0.39,6.65
Earthworm Jim,0.29,7.2
Earthworm Jim 2,0.03,4.7
East India Company,0.04,7.4
Eat Lead: The Return of Matt Hazard,0.25,5.4
Ecco the Dolphin: Defender of the Future,0.14,7.8
Echo Night,0.12,6.3
"Ed, Edd n Eddy: Jawbreakers!",0.32,5.0
"Ed, Edd n Eddy: The Mis-Edventures",0.6599999999999999,4.699999999999999
Egg Mania,0.0,7.3
Ehrgeiz,0.3,6.7
El Shaddai: Ascension of the Metatron,0.44000000000000006,8.0
Elebits,0.32,7.3
Elebits: The Adventures of Kai and Zero,0.08,7.45
Elf Bowling 1 & 2,0.03,1.4
Empire Earth II,0.03,8.0
Empire Earth III,0.04,4.8
Enchanted Arms,0.39,6.4
Endless Ocean,1.06,6.8
Endless Ocean: Blue World,0.87,7.6
Enemy Territory: Quake Wars,0.45,6.7
Enslaved: Odyssey to the West,1.1,7.95
Enter the Matrix,0.45,6.5
Ephemeral Fantasia,0.08,5.7
Epic Mickey: Power of Illusion,0.5,6.6
Eragon,0.41000000000000003,5.733333333333333
Eternal Sonata,0.76,8.100000000000001
Etrian Mystery Dungeon,0.28,7.6
Etrian Odyssey,0.33,7.4
Etrian Odyssey 2 Untold: Knight of Fafnir,0.14,8.0
Etrian Odyssey II: Heroes of Lagaard,0.26,8.4
Etrian Odyssey V: Beyond the Myth,0.27,7.9
Etrian Odyssey: Millennium Girl,0.26,8.1
Ever Oasis,0.29,8.1
EverGrace,0.35,6.2
Everybody Dance,0.13,6.5
Everybody's Golf,0.56,8.1
Evolution Skateboarding,0.04,4.8
Evolution Worlds,0.08,6.5
Excite Truck,0.53,7.0
ExciteBots: Trick Racing,0.28,7.7
Excitebike 64,1.0,8.9
Exit,0.08,7.9
Extreme Ghostbusters,0.0,7.1
EyePet,1.29,5.9
F-14 Tomcat,0.7,6.9
F-Zero GX,0.65,8.4
F-Zero: GP Legend,0.16,7.1
F.E.A.R.,0.34,8.6
F.E.A.R. 2: Project Origin,1.08,8.1
F.E.A.R. 3,0.9,7.8
F.E.A.R. Files,0.09,6.9
F1 2002,0.02,6.5
F1 2009,1.4100000000000001,7.1
F1 2010,2.27,8.266666666666667
F1 2011,2.27,7.625
F1 2012,1.5,8.2
F1 2013,0.8799999999999999,7.800000000000001
F1 2014,0.23,6.5
F1 2015,0.93,5.800000000000001
F1 2016,1.0,8.4
F1 2017,0.81,8.5
F1 2018,0.7000000000000001,8.7
F1 Grand Prix,0.0,6.0
FIFA 06: Road to FIFA World Cup,0.15,6.1
FIFA 07 Soccer,6.380000000000001,7.971428571428571
FIFA 13,0.49,7.0
FIFA 15,16.28,7.359999999999999
FIFA 16,15.82,8.7
FIFA 17,14.649999999999999,8.850000000000001
FIFA 18,16.12,7.525
FIFA 19,0.75,5.9
FIFA 2000,1.87,8.8
FIFA Soccer,0.12,7.8
FIFA Soccer 06,4.32,8.0
FIFA Soccer 08,3.1,8.2
FIFA Soccer 09,5.88,8.466666666666667
FIFA Soccer 10,8.39,8.525
FIFA Soccer 11,11.77,7.8
FIFA Soccer 12,11.68,8.625
FIFA Soccer 2003,0.05,6.9
FIFA Soccer 2004,3.6100000000000003,8.233333333333333
FIFA Soccer 2005,3.7800000000000002,8.25
FIFA Street 2,0.14,4.9
FIFA World Cup Germany 2006,1.5699999999999998,7.5
FIFA World Cup: Germany 2006,0.03,4.3
Fable III,5.43,7.4
Fable: The Lost Chapters,0.07,8.3
FaceBreaker K.O. Party,0.22,6.7
Fading Shadows,0.04,7.0
Fairytale Fights,0.34,4.85
Fallen Legion: Rise to Glory,0.02,7.0
Fallout 2,0.0,9.2
Fallout 3,9.94,8.933333333333334
Fallout 4,13.510000000000002,8.5
Fallout 76,2.46,4.633333333333333
Fallout: New Vegas,7.25,8.2
Family Guy,0.19,5.5
Fantavision,0.47,8.0
Far Cry 2,3.45,8.433333333333334
Far Cry 4,6.39,8.466666666666667
Far Cry 5,5.8,7.133333333333333
Far Cry Instincts Predator,0.24,8.0
Far Cry: Primal,3.98,7.666666666666667
Farming Simulator 2013,0.39,3.0
Fast Racing Neo,0.01,8.1
Fat Princess: Fistful of Cake,0.13,7.0
Fatal Frame,0.2,7.75
Fatal Frame II: Crimson Butterfly,0.16,7.8
Fatal Frame II: Crimson Butterfly Director's Cut,0.05,8.7
Fatal Frame III: The Tormented,0.08,7.7
Fate/Extella: The Umbral Star,0.21,8.0
Fate/Unlimited Codes Portable,0.05,7.6
Fear Factor: Unleashed,0.14,3.0
Feel the Magic XY/XX,0.29,7.7
Field Commander,0.16,7.7
Fight Night Champion,1.91,8.4
Fight Night Round 3,1.99,7.9
Fight Night Round 4,2.92,8.649999999999999
Fighters Uncaged,0.6,3.2
Fighting Force 64,0.11,5.2
Fighting Vipers,0.4,8.0
Final Fantasy Adventure,0.38,9.0
Final Fantasy Anthology,0.8,8.6
Final Fantasy Chronicles,0.52,9.2
Final Fantasy Crystal Chronicles: Echoes of Time,0.72,7.300000000000001
Final Fantasy Crystal Chronicles: Ring of Fates,0.66,7.7
Final Fantasy Crystal Chronicles: The Crystal Bearers,0.39,6.7
Final Fantasy Explorers,0.59,7.3
Final Fantasy IV Advance,0.61,8.6
Final Fantasy IV: The Complete Collection,0.56,8.0
Final Fantasy Legend III,0.76,7.0
Final Fantasy V Advance,0.26,8.2
Final Fantasy VI Advance,0.28,9.1
Final Fantasy X / X-2 HD Remaster,0.9,9.3
Final Fantasy XI: Chains of Promathia,0.25,7.3
Final Fantasy XI: Online,0.51,7.766666666666667
Final Fantasy XI: Wings of the Goddess,0.32,6.5
Final Fantasy XIII,7.539999999999999,8.05
Final Fantasy XIII-2,3.39,8.100000000000001
Final Fantasy XV,5.07,8.1
Final Fantasy: The 4 Heroes of Light,0.58,7.2
Final Fight One,0.21,8.2
Finding Nemo,2.82,7.0
Finding Nemo: The Continuing Adventures,0.3,8.0
Fire Emblem Warriors,0.51,7.3
Fire Emblem: Path of Radiance,0.54,8.6
Fire Emblem: Radiant Dawn,0.49,7.7
Fire Emblem: The Blazing Blade,0.97,8.8
Fire Emblem: The Sacred Stones,0.89,8.4
Fire ProWrestling,0.13,8.0
Fire ProWrestling G,0.19,8.0
Firefighter F.D.18,0.07,5.9
Fist of the North Star: Ken's Rage,0.8200000000000001,5.1
Fist of the North Star: Ken's Rage 2,0.3,5.0
FlatOut: Head On,0.29,7.3
FlingSmash,0.47,3.8
Flipping Death,0.01,7.5
"Flower, Sun, and Rain",0.07,5.7
Folklore,0.32,7.5
Football Manager 2006,0.0,8.5
Football Manager 2007,0.02,8.4
Football Manager 2010,0.07,8.7
Football Manager 2011,1.26,8.9
Football Manager 2012,1.5,8.5
Football Manager Classic 2014,0.12,5.8
Football Manager Handheld 2007,0.0,8.1
Football Manager Handheld 2010,0.35,6.0
Formula 1 Championship Edition,0.36,8.5
Formula One 2001,0.26,7.0
Forsaken 64,0.29,8.3
Fortnite,0.69,8.5
Fortress,0.32,6.6
Forza Horizon 4,1.84,9.2
Forza Motorsport,1.05,9.2
Forza Motorsport 2,4.05,9.1
Forza Motorsport 3,5.5,9.2
Forza Motorsport 4,4.6,9.1
Forza Motorsport 7,1.52,8.9
Fossil Fighters,0.89,6.9
Fracture,0.49,4.0
Fragile Dreams: Farewell Ruins of the Moon,0.37,6.7
Frantix,0.08,5.4
Freedom Fighters,0.13,8.8
Freedom Force,0.0,9.1
Freekstyle,0.01,7.2
Frogger 3D,0.21,7.0
Frogger Advance: The Great Quest,0.07,5.5
Frogger's Adventures 2: The Lost Wand,0.19,8.0
Frogger's Adventures: Temple of the Frog,2.39,6.7
Frogger's Journey: The Forgotten Relic,0.26,5.0
Frogger: Helmet Chaos,0.11,7.0
Frogger: The Great Quest,1.23,3.0
From Dust,0.0,8.2
From Russia With Love,0.22,7.3
From The Abyss,0.06,7.3
Fuel,0.57,6.533333333333334
Full Auto 2: Battlelines,0.19,6.1
Full Spectrum Warrior,0.3,8.15
Full Spectrum Warrior: Ten Hammers,0.07,5.5
Future Tactics: The Uprising,0.02,6.8
G-Force,1.72,7.26
G.I. Joe: The Rise of Cobra,1.09,4.816666666666666
GRID,2.06,8.475
GT Advance 2: Rally Racing,0.11,7.6
GT Advance 3: Pro Concept Racing,0.08,7.7
GT Advance Championship Racing,0.33,7.5
GT Pro Series,0.52,3.7
Gabrielle's Ghostly Groove 3D,0.11,7.5
Gadget Racers,0.0,7.0
Gal Metal!,0.02,7.0
Galactic Wrestling: Featuring Ultimate Muscle,0.22,7.3
Galidor: Defenders of the Outer Dimension,0.12,5.9
Game & Wario,0.25,6.2
Game & Watch Gallery 4,0.61,6.4
Game Party,2.49,2.6
Games Explosion!,0.02,4.0
Gangs of London,0.96,5.0
Gardening Mama,1.36,6.6
Gauntlet / Rampart,0.03,4.0
Gauntlet Legends,0.54,6.0
Gauntlet: Dark Legacy,0.0,3.1
Gear.Club Unlimited,0.15,6.1
Gears of War,0.02,8.8
Geist,0.15,6.6
Gekido Advance: Kintaro's Revenge,0.03,7.7
Generation of Chaos,0.06,5.9
Genji: Days of the Blade,0.75,5.0
Geometry Wars: Galaxies,0.12,8.0
Ghost Rider,0.24,5.0
Ghost Squad,0.77,7.0
Ghost Trick: Phantom Detective,0.38,8.2
Ghost in the Shell: Stand Alone Complex,0.23,6.15
Ghostbusters: The Video Game,2.33,7.7
Gladius,0.07,8.3
Glory of Heracles,0.29,6.8
Go Vacation,1.54,7.0
Go! Go! Hypergrind,0.03,6.5
Go! Sudoku,0.12,6.8
Goblin Commander: Unleash the Horde,0.19,7.4
Godzilla Generations,0.08,3.2
Godzilla Unleashed,0.16,4.5
Godzilla: Destroy All Monsters Melee,0.71,7.5
Godzilla: Domination!,0.28,4.7
Golden Axe: Beast Rider,0.65,4.25
Golden Sun: Dark Dawn,0.81,8.0
GoldenEye 007,1.4400000000000002,6.75
GoldenEye: Rogue Agent,0.36,5.9
Goldeneye 007: Reloaded,1.28,7.4
Gone Home,0.0,9.1
Gotcha Force,0.03,5.8
Gothic 3: Forsaken Gods,0.0,4.4
Gradius Galaxies,0.08,7.8
Graffiti Kingdom,0.03,7.2
Gran Turismo (PSP),2.82,7.8
Grand Theft Auto,2.5599999999999996,6.5
Grand Theft Auto 2,3.42,6.9
Grand Theft Auto III,13.11,9.3
Grand Theft Auto IV,22.53,9.733333333333333
Grand Theft Auto V,48.43,9.366666666666667
Grand Theft Auto: Chinatown Wars,2.41,9.35
Grand Theft Auto: Episodes from Liberty City,4.6899999999999995,9.0
Grand Theft Auto: Liberty City Stories,11.26,8.55
"Grand Theft Auto: Mission Pack #1, London 1969",0.11,6.7
Grand Theft Auto: San Andreas,2.92,9.3
Grand Theft Auto: Vice City,16.189999999999998,9.3
Grand Theft Auto: Vice City Stories,5.08,8.4
Grandia,0.6699999999999999,8.55
Grandia II,0.49,7.8999999999999995
Grandia Xtreme,0.38,6.7
Gravity Rush Remastered,0.16,7.9
Gray Matter,0.08,7.3
Green Day: Rock Band,0.82,7.8
Green Lantern: Rise of the Manhunters,0.5,5.875
Greg Hastings' Tournament Paintball Max'd,0.03,2.2
Gretzky NHL,0.1,6.0
Gretzky NHL 06,0.14,5.8
GrimGrimoire,0.05,7.7
GripShift,0.09,7.1
