title,total_sales,critic_score
Grooverider: Slot Car Thunder,0.01,4.5
Guild Wars: Factions,0.01,8.6
Guild Wars: Nightfall,0.03,8.0
Guilty Gear Judgment,0.16,7.5
Guilty Gear X: Advance Edition,0.06,7.3
Guilty Gear XX Accent Core Plus,0.03,7.0
Guitar Hero 5,3.7800000000000002,8.9
Guitar Hero II,7.33,9.2
Guitar Hero III: Legends of Rock,16.36,8.424999999999999
Guitar Hero On Tour: Modern Hits,0.37,7.3
Guitar Hero: Metallica,1.73,8.7
Guitar Hero: On Tour,3.46,7.1
Guitar Hero: Smash Hits,1.5699999999999998,7.225
Guitar Hero: Van Halen,0.9600000000000001,5.575
Guitar Hero: Warriors of Rock,1.8199999999999998,7.199999999999999
Guitar Hero: World Tour,8.2,8.5
Gun,0.45,7.7
Gundam Seed: Battle Assault,0.08,6.5
Gundam Versus,0.28,7.3
Gungnir,0.14,7.4
Gunstar Super Heroes,0.07,8.0
Gunvalkyrie,0.17,6.1
Gurumin: A Monstrous Adventure,0.01,7.4
Hail to the Chimp,0.11,7.0
Half-Life,0.6,8.4
Half-Life 2,0.61,8.9
Halo 2,0.09,6.9
Halo 2 Multiplayer Map Pack,0.69,8.6
Halo Wars 2,0.51,7.0
Halo: Combat Evolved,0.04,8.6
Halo: Combat Evolved Anniversary,2.41,8.0
Halo: Reach,9.97,9.3
Halo: The Master Chief Collection,3.44,8.8
Hammerin' Hero,0.08,7.0
Hamtaro: Ham-Ham Games,0.22,7.5
Hamtaro: Ham-Ham Heartbreak,0.36,8.0
Hannah Montana,2.65,6.5
Happy Birthdays,0.01,8.5
Hard Rock Casino,0.14,3.8
Harry Potter and the Chamber of Secrets,1.99,7.2
Harry Potter and the Deathly Hallows - Part 2,0.43000000000000005,4.55
Harry Potter and the Goblet of Fire,2.11,6.666666666666667
Harry Potter and the Half-Blood Prince,0.76,6.0
Harry Potter and the Order of the Phoenix,0.37,4.8
Harry Potter and the Prisoner of Azkaban,0.52,7.0
Harry Potter and the Sorcerer's Stone,1.69,6.6
Harry Potter: Quidditch World Cup,0.79,6.050000000000001
Harvest Moon 3D: A New Beginning,0.95,8.2
Harvest Moon 64,0.48,7.8
Harvest Moon: A Wonderful Life,0.79,8.2
Harvest Moon: Another Wonderful Life,0.24,7.7
Harvest Moon: Boy & Girl,0.09,6.1
Harvest Moon: Frantic Farming,0.1,7.0
Harvest Moon: Friends of Mineral Town,0.59,7.6
Harvest Moon: Magical Melody,0.53,7.15
Harvest Moon: More Friends of Mineral Town,0.2,8.0
Harvest Moon: Save the Homeland,0.4,7.8
Harvest Moon: Skytree Village,0.09,5.0
Harvest Moon: Sunshine Islands,0.57,9.0
Harvest Moon: The Tale of Two Towns,0.9299999999999999,6.3
Has-Been Heroes,0.14,4.8
Hasbro Family Game Night 2,1.36,6.4
Hatsune Miku: Project Mirai DX,0.38,7.5
Haunting Ground,0.07,6.6
Haze,0.99,5.6
Hearts of Iron III,0.09,7.9
Heatseeker,0.14,5.15
Hellblade: Senua's Sacrifice,0.05,8.3
Henry Hatsworth in the Puzzling Adventure,0.09,9.1
Herbie: Fully Loaded,0.34,5.0
Hexen,0.19,4.4
Hexyz Force,0.14,6.7
Hey Arnold! The Movie,0.26,5.5
Hey! Pikmin,0.44,6.8
High Heat Major League Baseball 2002,0.0,6.0
High Heat Major League Baseball 2003,0.0,6.0
High School Musical: Makin' the Cut!,2.2,7.3
High School Musical: Sing It!,1.76,6.4
Hitman 2: Silent Assassin,0.13,8.3
Hitman: Blood Money,1.06,8.1
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",0.14,6.9
Homefront,2.6,6.633333333333333
Hometown Story,0.5,5.5
Homeworld 2,0.03,8.1
Horsez,0.42,4.0
Hoshigami: Ruining Blue Earth Remix,0.01,5.6
Hospital Tycoon,0.01,4.0
Hot Pixel,0.03,5.7
Hot Potato!,0.04,7.7
Hot Shots Golf: Open Tee,1.96,8.4
Hot Shots Golf: Open Tee 2,0.68,8.0
Hot Shots Golf: Out of Bounds,1.14,8.3
Hot Shots Tennis: Get a Grip,0.23,8.0
Hot Wheels Velocity X,0.16,5.2
Hot Wheels: Burnin' Rubber,0.06,8.0
Hot Wheels: Stunt Track Challenge,0.45,5.3
Hotel Dusk: Room 215,0.54,8.0
Hotel Transylvania 3: Monsters Overboard,0.01,6.5
How to Train Your Dragon,0.74,5.266666666666667
Hugo: The Evil Mirror,0.01,5.9
Hulk,0.19,7.3
Hunted: The Demon's Forge,0.52,6.066666666666666
Hunter: The Reckoning,0.48,7.449999999999999
Hybrid Heaven,0.25,7.0
Hyperdimension Neptunia,0.44,5.3
Hyrule Warriors: Definitive Edition,0.46,8.0
I am Setsuna,0.05,7.0
I-Ninja,0.56,7.3999999999999995
ICO,0.47,8.8
IL-2 Sturmovik: Birds of Prey,0.94,6.466666666666666
IL-2 Sturmovik: Cliffs of Dover,0.05,5.0
Ice Age,0.38,4.2
Ice Age 2: The Meltdown,1.16,6.433333333333334
Ice Age: Dawn of the Dinosaurs,0.99,6.459999999999999
Iggy's Reckin' Balls,0.08,6.8
Ikaruga,0.09,8.0
Imagine: Babyz,2.87,3.5
Imagine: Fashion Designer,2.81,3.0
Import Tuner Challenge (American sales),0.09,6.4
Inazuma Eleven,0.53,6.8
Indiana Jones and the Staff of Kings,0.98,6.25
Infected,0.15,7.3
Infernal: Hell's Vengeance,0.08,4.4
Infinite Space,0.2,7.2
Innocent Life: A Futuristic Harvest Moon,0.16,6.5
Intelligent Qube,1.22,7.4
Intellivision Lives!,0.06,6.4
International Superstar Soccer '98,0.58,9.1
Invizimals,0.79,6.6
Iridion 3D,0.46,5.6
Iridion II,0.13,7.9
Iron Chef America: Supreme Cuisine,0.17,2.0
Iron Man,1.31,5.05
Iron Man 2,0.27,5.1
Ivy the Kiwi?,0.11,7.4
Izuna 2: The Unemployed Ninja Returns,0.06,6.9
Izuna: Legend of the Unemployed Ninja,0.0,6.4
JU-ON: The Grudge,0.1,4.0
Jackass the Game,0.22,5.6
Jackie Chan Adventures: Legend of the Dark Hand,0.19,7.8
Jade Empire,0.7,9.0
Jade Empire: Special Edition,0.0,7.8
Jak and Daxter: The Lost Frontier,1.08,7.5
Jak and Daxter: The Precursor Legacy,3.64,9.0
James Bond 007: Agent Under Fire,0.72,7.5
James Bond 007: Blood Stone,1.24,6.4
James Bond 007: Everything or Nothing,0.59,7.25
James Bond 007: Nightfire,0.91,7.65
James Cameron's Avatar: The Game,3.44,5.733333333333333
James Noir's Hollywood Crimes,0.16,7.0
Jaws: Ultimate Predator,0.12,4.0
Jazz Jackrabbit,0.0,6.8
Jeanne d'Arc,0.33,8.4
Jenga World Tour,0.05,2.0
Jeremy McGrath Supercross World,0.12,2.7
Jerry Rice and Nitus' Dog Football,0.04,7.0
Jet Grind Radio,0.03,7.1
Jim Henson's the Muppets: On With the Show!,0.14,6.3
Jimmie Johnson's Anything With an Engine,0.09,7.3
John Romero's Daikatana,0.0,4.0
Juiced: Eliminator,0.42,6.6
July,0.06,4.8
Jurassic Park III: Island Attack,0.18,4.9
Just Cause,0.18000000000000002,7.2
Just Cause 2,3.35,8.15
Just Cause 3,3.15,7.366666666666667
Just Dance 2014,6.42,7.56
Just Dance 2015,0.54,8.1
Just Dance 2017,0.29,6.5
Just Dance 2018,0.76,8.0
Just Dance 3,2.02,5.5
Justice League Heroes: The Flash,0.03,8.0
Justice League: Chronicles,0.04,3.5
Kabuki Warriors,0.06,1.0
Kane & Lynch 2: Dog Days,1.08,6.35
Kane & Lynch: Dead Men,1.51,6.8
Kao the Kangaroo,0.01,3.9
Karnaaj Rally,0.01,7.9
Kartia: The Word of Fate,0.22,7.9
Katamari Damacy,0.73,8.5
Katamari Damacy Reroll,0.17,8.8
Katamari Forever,0.41,7.3
Kelly Slater's Pro Surfer,0.19,8.0
Kengo: Legend of The 9,0.07,4.8
Kenka Bancho: Badass Rumble,0.29,7.0
Kensei: Sacred Fist,0.02,5.7
Kill.switch,0.02,7.5
Killer7,0.24,6.85
Killzone 3,2.81,8.2
Killzone: Liberation,0.9,7.8
Killzone: Mercenary,0.92,7.4
Kinect Joy Ride,1.43,5.6
Kinect Sports: Season Two,2.33,6.6
Kinect: Disneyland Adventures,2.41,8.5
Kinectimals,1.62,7.5
King Arthur,0.22,6.6000000000000005
King's Bounty: The Legend,0.0,8.4
King's Field,0.16,7.1
King's Field II,0.26,7.3
Kingdom Hearts Re: Chain of Memories,0.87,7.2
Kingdom Hearts Re:coded,0.93,6.8
Kingdom of Paradise,0.15,7.0
Kirby and the Rainbow Curse,0.58,8.2
Kirby's Adventure,0.0,8.4
Kirby's Dream Collection: Special Edition,0.69,8.0
Kirby: Battle Royale,0.33,6.0
Kirby: Canvas Curse,0.72,8.9
Klonoa,0.16,7.6
Klonoa 2: Dream Champ Tournament,0.03,8.1
Klonoa 2: Lunatea's Veil,0.33,9.4
Klonoa: Empire of Dreams,0.14,8.6
Knack 2,0.47,6.7
Knights Contract,0.16,5.4
Knights in the Nightmare,0.16999999999999998,7.75
Konami Collector's Series: Arcade Advanced,0.64,8.0
Konami Krazy Racers,0.16,7.7
Kong: The Animated Series,0.02,5.0
Koudelka,0.08,6.5
Kung Fu Chaos,0.28,7.0
Kung Fu Panda,3.05,7.5
Kung Fu Panda 2,0.13,3.0
Kung Fu Rider,0.2,4.3
KuruKuru Kururin,0.31,7.2
L.A. Noire,6.39,8.700000000000001
LBX: Little Battlers eXperience,0.21,7.0
LEGO Batman: The Videogame,13.55,7.528571428571429
LEGO Battles: Ninjago,1.48,5.0
LEGO Bionicle,0.06,6.4
LEGO City Undercover,1.4,8.0
LEGO DC Super-Villains,0.44,7.8
LEGO Harry Potter: Years 1-4,8.46,7.8999999999999995
LEGO Harry Potter: Years 5-7,0.95,9.0
LEGO Indiana Jones 2: The Adventure Continues,2.05,6.5
LEGO Indiana Jones: The Original Adventures,8.32,7.65
LEGO Pirates of the Caribbean: The Video Game,5.47,7.116666666666667
LEGO Rock Band,2.13,7.475
LEGO Star Wars II: The Original Trilogy,7.32,7.612500000000001
LEGO Star Wars III: The Clone Wars,7.33,7.185714285714285
LEGO Star Wars: The Complete Saga,12.74,7.933333333333334
LEGO Star Wars: The Video Game,7.26,7.8
LEGO The Hobbit,0.25,7.0
LEGO The Incredibles,1.1600000000000001,6.5
LEGO Worlds,0.58,5.0
LIMBO,0.0,9.0
LMA Manager 2007,0.01,6.2
Lair,0.51,5.5
Langrisser: Re:Incarnation Tensei,0.04,1.5
Last Rebellion,0.09,4.8
Last Window: The Secret of Cape West,0.22,7.3
Left 4 Dead 2,0.36,9.0
Legacy of Kain: Soul Reaver,1.04,8.9
Legend of Kay,0.05,7.2
Legend of Kay Anniversary,0.01,6.5
Legend of Legaia,0.66,8.1
Legend of the Dragon,0.03,2.9
Legendary,0.41000000000000003,4.0
Lego Batman 3: Beyond Gotham,0.45,7.4
Lemmings,0.86,7.3
Let's TAP,0.17,7.0
Life Is Strange: Before the Storm,0.22,7.5
Lightning Returns: Final Fantasy XIII,1.36,6.75
Line Rider 2: Unbound,0.08,5.0
Lionheart: Kings' Crusade,0.01,6.3
Lips,0.77,7.1
Little Dragons Café,0.13,7.0
LittleBigPlanet,2.61,8.8
LittleBigPlanet 2,3.43,9.1
LittleBigPlanet: Game of the Year Edition,0.0,9.5
LocoRoco,0.39,8.1
LocoRoco 2,0.36,8.5
Lode Runner 3-D,0.1,7.0
London 2012: The Official Video Game of the Olympic Games,1.23,5.85
Looney Tunes: Duck Amuck,0.3,6.4
Lord of Arcana,0.34,4.7
Lord of Magna: Maiden Heaven,0.06,7.0
Lord of the Rings: Tactics,0.13,6.9
Lost Kingdoms,0.17,7.3
Lost Kingdoms II,0.06,6.6
Lost Odyssey,0.9,7.5
Lost Planet 2,1.71,6.55
Lost Planet: Extreme Condition,0.64,6.3
Lost Planet: Extreme Condition Colonies Edition,0.0,7.8
Lost Sphear,0.06,6.25
Lost in Shadow,0.12,6.7
Lufia: Curse of the Sinistrals,0.16,7.8
Luigi's Mansion,0.47,7.3
Lumines ll,0.3,8.0
Luminous Arc,0.24,6.8
Luminous Arc 2,0.22,7.5
Lunar 2: Eternal Blue Complete,0.35,8.1
Lunar Knights,0.23,8.2
Lunar Legend,0.19,7.7
Lunar: Dragon Song,0.12,5.9
Lunar: Silver Star Harmony,0.24,7.9
Lunar: Silver Star Story Complete,0.55,7.6
MAG: Massive Action Game,1.32,7.4
MC Groovz Dance Craze,0.2,2.5
MDK2,0.0,8.5
METRO 2033,0.78,7.45
MLB,0.24,8.0
MLB 06: The Show,0.35,8.3
MLB 07: The Show,0.28,8.1
MLB 08: The Show,0.33,8.3
MLB 09: The Show,0.99,8.850000000000001
MLB 10: The Show,0.94,7.8
MLB 11: The Show,0.59,8.9
MLB 13: The Show,0.99,8.05
MLB 14 The Show,1.28,7.866666666666667
MLB Power Pros,0.29,8.5
MLB SlugFest 20-04,0.04,8.0
MVP Baseball,0.21,6.6
MVP Baseball 2004,0.26,8.9
MVP Baseball 2005,0.33,8.7
MX 2002 Featuring Ricky Carmichael,0.56,8.0
MX vs. ATV Reflex,0.24,5.3
MX vs. ATV Unleashed: On the Edge,0.69,7.3
MX vs. ATV Untamed,0.65,5.6
MX vs. ATV: Alive,1.01,6.9
Mace: The Dark Age,0.19,7.1
MadWorld,0.78,8.1
Madagascar,3.44,6.416666666666667
Madden NFL 06,6.82,8.35
Madden NFL 07,3.74,7.8999999999999995
Madden NFL 08,3.16,7.866666666666666
Madden NFL 09,5.14,8.0
Madden NFL 09 All-Play (weekly US sales),0.0,8.0
Madden NFL 10,6.59,8.15
Madden NFL 11,5.82,7.833333333333333
Madden NFL 12,5.41,7.533333333333334
Madden NFL 13,6.22,7.425000000000001
Madden NFL 16,7.59,8.15
Madden NFL 17,5.72,8.3
Madden NFL 18,4.53,8.5
Madden NFL 2002,0.61,8.6
Madden NFL 2003,4.569999999999999,9.25
Madden NFL 2004,5.74,9.35
Madden NFL 2005,5.23,9.35
Madden NFL 25,6.16,7.45
Madden NFL Football,0.41,4.5
Mafia,0.74,7.85
Mafia II,3.05,7.1
Mafia III,3.9800000000000004,6.85
Magna Carta 2,0.3,6.6
Magna Carta: Tears of Blood,0.22,6.1
Mahjong Cub3D,0.09,6.9
Majin and the Forsaken Kingdom,0.48,7.0
Major League Baseball 2K10,1.11,5.6
Major League Baseball 2K6,1.43,6.9
Major League Baseball 2K7,0.09,6.3
Major League Baseball 2K8,0.03,6.5
Major League Baseball 2K9,0.09,6.0
Major Minor's Majestic March,0.05,4.5
Makai Kingdom: Chronicles of the Sacred Tome,0.12,7.9
Mall Tycoon,0.0,4.7
Mall Tycoon 3,0.0,6.8
Mana Khemia 2: Fall of Alchemy,0.2,8.2
Mana Khemia: Alchemists of Al-Revis,0.06,6.6
Mana Khemia: Alchemists of Al-Revis (JP sales),0.04,6.6
Mana Khemia: Student Alliance,0.11,3.2
Manhunt,1.47,7.85
Manhunt 2,0.54,5.8
Marble Saga: Kororinpa,0.16,7.4
Mario & Sonic at the London 2012 Olympic Games,1.19,6.5
Mario & Sonic at the Olympic Games,5.1,7.0
Mario & Sonic at the Olympic Winter Games,8.01,7.199999999999999
Mario & Sonic at the Sochi 2014 Olympic Winter Games,0.8,5.9
Mario Golf: World Tour,0.49,8.1
Mario Party: Star Rush,0.87,6.2
Mario Party: The Top 100,0.69,5.0
Mario Sports Superstars,0.46,6.0
Mario Tennis Ultra Smash,0.54,6.1
Mario vs. Donkey Kong: Tipping Stars,0.1,6.45
Marvel Nemesis: Rise of the Imperfects,0.7,6.4
Marvel Super Hero Squad: The Infinity Gauntlet,0.1,4.8
Marvel vs. Capcom 2,0.9,8.6
Marvel vs. Capcom 3: Fate of Two Worlds,2.43,8.3
Marvel vs. Capcom: Clash of Super Heroes,0.1,8.5
Marvel: Ultimate Alliance,4.4799999999999995,7.983333333333333
Marvel: Ultimate Alliance 2,1.96,6.933333333333334
Mass Effect,3.58,9.149999999999999
Mass Effect 2,4.95,9.466666666666667
Mass Effect 3,4.78,9.200000000000001
Master of the Monster Lair,0.11,6.9
Mat Hoffman's Pro BMX 2,0.46,8.1
Matt Hazard: Blood Bath and Beyond,0.0,6.6
Max Payne,4.58,8.425
Max Payne 2: The Fall of Max Payne,2.0100000000000002,8.166666666666666
Maximo: Ghosts to Glory,0.77,8.7
Me & My Katamari,0.23,7.2
Mech Platoon,0.0,7.6
Medabots: Infinity,0.05,5.4
Medal of Honor,8.129999999999999,7.766666666666667
Medal of Honor European Assault,0.25,7.9
Medal of Honor Heroes,2.66,6.7
Medal of Honor Heroes 2,1.16,6.6
Medal of Honor: Allied Assault,0.0,9.3
Medal of Honor: Frontline,7.42,8.5
Medal of Honor: Rising Sun,5.55,6.25
MediEvil: Resurrection,0.82,6.5
Medieval Moves: Deadmund's Quest,0.28,7.0
Medieval: Total War,0.0,9.0
Mega Man 11,0.36,8.0
Mega Man Anniversary Collection,0.42,7.5
Mega Man Legacy Collection 1+2,0.25,8.5
Mega Man Maverick Hunter X,0.31,7.9
Mega Man Powered Up,0.14,8.7
Mega Man Star Force 3: Black Ace / Red Joker,0.46,5.7
Mega Man X Collection,0.37,7.5
Mega Man X: Command Mission,0.12,7.2
Mega Man ZX,0.28,8.1
Mega Man ZX Advent,0.33,7.6
Mega Man Zero Collection,0.31,7.5
Men of War,0.03,9.0
Men of War: Assault Squad,0.06,8.0
Mercenaries 2: World in Flames,1.9300000000000002,6.366666666666667
Mercury Meltdown Revolution,0.17,8.0
Metal Gear Ac!d,0.87,7.4
Metal Gear Ac!d 2,0.18,8.3
Metal Gear Online,0.0,8.1
Metal Gear Rising: Revengeance,1.5,9.0
Metal Gear Solid,0.0,8.5
Metal Gear Solid 2: Substance,1.1400000000000001,8.333333333333334
Metal Gear Solid 3: Subsistence,0.55,9.4
Metal Gear Solid HD Collection,0.9,9.149999999999999
Metal Gear Solid V: Ground Zeroes,2.2,8.025
Metal Gear Solid VR Missions,1.18,6.8
Metal Gear Solid: Digital Graphic Novel,0.04,7.6
Metal Gear Solid: Peace Walker,2.08,8.6
Metal Gear Solid: Portable Ops,1.19,8.7
Metal Gear Solid: Portable Ops Plus,0.69,6.9
Metal Gear Solid: Snake Eater 3D,0.42000000000000004,7.9
Metal Gear Solid: The Essential Collection,0.46,9.0
Metal Saga,0.03,6.1
Metal Slug 7,0.14,6.9
Metal Slug XX,0.04,6.9
Meteos,0.23,8.8
Meteos: Disney Magic,0.04,7.3
Metroid Prime Pinball,0.26,7.6
Metroid Prime: Federation Force,0.15,6.3
Metroid Prime: Trilogy,0.61,9.0
Metroid: Other M,1.36,7.7
Metroid: Samus Returns,0.56,9.1
Metroid: Zero Mission,0.84,8.9
MetropolisMania,0.09,6.8
MetropolisMania 2,0.01,4.3
Miami Law,0.1,5.5
Michael Jackson: The Experience,5.24,5.6
Microsoft Flight Simulator,5.12,7.0
Midnight Club 3: DUB Edition,3.66,7.2
Midnight Club: LA Remix,0.99,7.7
Midnight Club: Los Angeles,4.9,8.15
Midway Arcade Treasures,0.17,6.8
Midway Arcade Treasures 2,0.16,7.2
Midway Arcade Treasures 3,0.07,6.1
Midway Arcade Treasures: Extended Play,0.24,5.6
Might & Magic Heroes VI,0.35,7.4
Might & Magic: Clash of Heroes,0.18,8.6
MindJack,0.28,4.55
Minecraft,10.06,7.7
Mini Ninjas,0.71,7.5
Mirror's Edge,2.29,7.65
Mischief Makers,0.43,6.5
Mission: Impossible,1.17,6.6
Mission: Impossible - Operation Surma,0.02,7.3
Mister Mosquito,0.28,6.6
ModNation Racers,1.67,7.9
Monopoly Party,0.13,7.3
Monopoly for Nintendo Switch,0.3,5.3
Monster 4x4: Masters of Metal,0.05,5.1
Monster Boy and the Cursed Kingdom,0.04,8.0
Monster Hunter 3 Ultimate,0.71,8.7
Monster Hunter Generations Ultimate,0.72,7.7
Monster Hunter Stories,0.7,8.1
Monster Hunter: World,0.93,9.4
Monster Tale,0.06,7.7
Monster Truck Madness 64,0.3,5.5
Monsters vs. Aliens,0.17,6.5
"Monsters, Inc. Scream Arena",0.37,3.8
Moon,0.05,6.7
Mortal Kombat,2.7,8.350000000000001
Mortal Kombat (2011),5.73,8.633333333333333
Mortal Kombat vs DC Universe,4.04,7.6
Mortal Kombat: Armageddon,1.29,7.1
Mortal Kombat: Deadly Alliance,2.9000000000000004,8.399999999999999
Mortal Kombat: Deception,2.75,7.333333333333333
Mortal Kombat: Shaolin Monks,0.69,8.0
Mortal Kombat: Unchained,0.74,7.0
MotionSports,0.69,4.1
MotoGP '06,0.14,8.3
MotoGP '07,0.25,7.7
MotoGP 08,0.35,6.8
MotoGP 09/10,0.39,7.0
MotoGP 10/11,0.23,6.0
MotorStorm RC,0.07,8.1
MotorStorm: Apocalypse,0.49,7.6
MotorStorm: Arctic Edge,1.3800000000000001,7.550000000000001
Mount & Blade,0.02,7.2
Mount & Blade: With Fire & Sword,0.0,6.6
Move Fitness,0.21,5.0
Muppet Pinball Mayhem,0.0,7.9
Mushroom Men: The Spore Wars,0.18,7.3
Musynx,0.01,7.5
Mx vs. ATV Reflex,0.72,7.4
My Fitness Coach,2.32,7.1
My Spanish Coach,0.13,7.0
MySims,5.3100000000000005,6.9
MySims Agents,1.05,7.5
MySims SkyHeroes,0.3,6.4
Mystery Case Files: The Malgrave Incident,0.33,6.3
Mystery Dungeon: Shiren the Wanderer,0.52,7.1
Mystic Heroes,0.09,6.8
N3: Ninety-Nine Nights,0.3,6.3
NARC,0.54,5.5
NASCAR,0.1,7.2
NASCAR '14,0.11,7.0
NASCAR 09,0.25,7.1
NASCAR 2011: The Game,0.8,5.433333333333334
NASCAR Thunder 2003,0.31,8.8
NBA,0.21,6.4
NBA 06,0.22,7.2
NBA 07,0.2,6.9
NBA 08,0.03,7.2
NBA 09: The Inside,0.17,8.2
NBA 10 The Inside,0.08,6.5
NBA 2K,0.05,8.9
NBA 2K10,2.55,6.8
NBA 2K11,2.11,8.8
NBA 2K12,4.93,8.866666666666667
NBA 2K13,5.91,8.55
NBA 2K16,6.390000000000001,8.5
NBA 2K17,5.5600000000000005,8.9
NBA 2K18,5.99,7.459999999999999
NBA 2K2,0.12,8.8
NBA 2K6,0.23,8.0
NBA 2K7,1.79,8.275
NBA 2K9,2.3,7.9
NBA Ballers: Rebound,0.1,7.3
NBA Courtside 2002,0.25,7.6
NBA Jam,0.41,8.0
NBA Live 06,0.71,7.3
NBA Live 07,2.34,6.425
NBA Live 08,0.31,6.8
NBA Live 09,0.39,6.1
NBA Live 10,0.78,6.9
NBA Live 2003,0.3,8.4
NBA Live 2004,0.27,8.4
NBA Live 2005,0.45,8.5
NBA Live 99,1.22,8.3
NBA Street Vol. 2,0.54,8.8
NBA Street: Showdown,0.22,7.5
NCAA Football 07,3.36,8.325
NCAA Football 09,0.23,6.5
NCAA Football 09 All-Play,0.16,5.3
NCAA Football 10,2.54,7.8
NCAA Football 11,2.16,7.8
NCAA Football 12,1.83,7.75
NCAA Football 13,2.04,7.3
NCAA Football 14,2.05,7.65
NCAA Football 2003,0.21,9.2
NCAA Football 2004,1.8199999999999998,8.399999999999999
NCAA Gamebreaker,0.26,6.3
NERF N-Strike Elite,1.0,7.5
NFL 2K,1.2,9.7
NFL 2K1,1.09,9.6
NFL 2K3,0.22,9.0
NFL Blitz,1.5,9.1
NFL Blitz 20-03,0.14,7.8
NFL Street,0.35,8.3
NFL Street 2,0.2,8.2
NFL Street 2 Unleashed,0.37,7.4
NFL Street 3,0.27,6.7
NHL 07,0.98,7.6
NHL 09,0.5,9.0
NHL 10,1.23,9.1
NHL 11,1.3199999999999998,8.8
NHL 12,1.2799999999999998,8.7
NHL 13,1.34,8.25
NHL 2K10,0.6499999999999999,7.099999999999999
NHL 2K11,0.27,6.3
NHL 2K6,0.1,7.3
NHL 2K7,0.22,7.966666666666666
NHL FaceOff 2001,0.43000000000000005,5.9
NHL Slapshot,0.42,7.6
NPPL Championship Paintball 2009,0.12,4.9
Namco Museum,0.63,5.3
Namco Museum Arcade Pac,0.11,7.8
Namco Museum Battle Collection,1.09,7.9
Namco Museum: Virtual Arcade,0.31,7.0
Nano Assault,0.08,6.0
Napoleon Dynamite: The Game,0.04,4.3
Napoleon: Total War,0.67,8.5
Naruto Powerful Shippuden,0.16,8.0
Naruto Shippuden: Dragon Blade Chronicles,0.18,4.3
Naruto Shippuden: Kizuna Drive,0.14,7.0
Naruto Shippuden: Legends: Akatsuki Rising,0.15,5.8
